order_id,customer_id,order_date,ship_date,delivery_date,customer_name,customer_segment,customer_country,customer_city,customer_region,order_status,total_items,unique_products,product_categories,subtotal,discount_amount,shipping_cost,tax_amount,total_order_value,profit,shipping_method,delivery_status,payment_method,payment_status,sales_channel,customer_acquisition_channel,campaign
ORD1000019,CUST120445,2026-07-30,2026-08-01,2026-08-05,Courtney Barnes DVM,Corporate,Canada,Toronto,North America,Delivered,1,1,Grocery|Home & Kitchen,56.13,4.34,5.83,6.73,64.35,23.24,Standard,On Time,Debit Card,Paid,Website,Paid Ads,
ORD1000020,CUST104480,2026-01-06,2026-01-06,2026-01-07,Elizabeth Gibson,Small Business,United States,New York,North America,Delivered,1,1,Books,15.32,0.0,16.7,1.07,33.09,4.86,Express,On Time,PayPal,Paid,Website,Paid Ads,BLACKFRIDAY24
ORD1000021,CUST118343,2025-03-20,2025-03-21,2025-03-22,Veronica Riley,Consumer,Germany,Munich,Europe,Returned,5,4,Sports & Outdoors|Books,166.1,0.0,,31.56,211.42,79.79,Express,Returned,Credit Card,Refunded,Marketplace,Paid Ads,
ORD1000022,CUST115843,2026-02-11,2026-02-11,2026-02-12,Kelly Taylor,Consumer,United States,Chicago,North America,Delivered,5,5,Books,167.98,31.67,21.44,9.54,167.29,46.76,Same-Day,Delayed,Bank Transfer,Paid,Mobile App,Email Marketing,
ORD1000023,CUST107320,2025-05-16,2025-05-17,2025-05-19,Gabriel Mcdowell,Consumer,United States,Houston,North America,Returned,2,2,Books|Beauty & Personal Care,39.49,10.73,16.34,2.01,47.11,5.43,Express,Returned,Bank Transfer,Refunded,Website,Referral,
ORD1000024,CUST115175,2024-12-19,,,Christopher Martinez,Consumer,United States,Los Angeles,North America,Processing,2,2,Apparel,61.64,0.0,12.19,4.31,78.14,25.69,Express,Not Shipped,Bank Transfer,Pending,Website,Direct,
ORD1000025,CUST122922,2024-02-13,2024-02-14,,Christie Freeman,Small Business,United States,Chicago,,Shipped,2,2,Toys & Games,105.81,22.48,14.15,5.83,103.31,11.96,Express,In Transit,Debit Card,Paid,Website,Organic Search,
ORD1000026,CUST120876,2026-04-03,2026-04-05,2026-04-10,Mr. Jeffrey Moreno DVM,Consumer,USA,New York,North America,Delivered,1,1,Books,55.16,9.71,5.19,3.18,53.82,8.72,Standard,Delayed,Gift Card,Paid,Marketplace,Referral,
ORD1000027,CUST119490,2025-07-01,2025-07-03,2025-07-08,Larry Zhang,Consumer,United States,New York,North America,Delivered,1,1,Apparel|Home & Kitchen|Toys & Games,107.82,0.0,0.0,7.55,115.37,40.34,Standard,On Time,Debit Card,Paid,Website,Direct,
ORD1000028,CUST124720,2025-03-20,2025-03-20,2025-03-21,Johnny Suarez,Consumer,United States,New York,North America,Delivered,3,3,Apparel|Grocery,85.47,0.0,14.22,5.98,105.67,37.89,Express,On Time,Credit Card,Paid,Marketplace,Social Media,
ORD1000029,CUST111127,2025-10-05,,,Jennifer Williams,Consumer,United States,Houston,North America,Processing,5,5,Electronics|Apparel,119.09,0.0,16.71,8.34,144.14,50.62,Express,Not Shipped,Credit Card,Paid,Marketplace,Organic Search,
ORD1000030,CUST118315,2024-05-28,2024-05-30,2024-06-03,Dr. Travis Butler,Consumer,Germany,Berlin,Europe,Delivered,5,4,Sports & Outdoors|Electronics,234.41,38.96,5.11,37.14,237.7,28.23,Standard,On Time,Credit Card,Paid,Marketplace,Paid Ads,BLACKFRIDAY24
ORD1000031,CUST104550,2024-08-05,2024-08-05,2024-08-09,Mariah Watts,Small Business,Canada,Vancouver,,Delivered,5,3,Beauty & Personal Care,115.92,0.0,7.72,15.07,138.71,52.58,Standard,On Time,Debit Card,Pending,Website,Social Media,
ORD1000032,CUST101346,2024-05-22,2024-05-23,2024-05-25,Ryan Hunt,Small Business,United States,Chicago,North America,Delivered,2,2,Home & Kitchen|Beauty & Personal Care,137.63,0.0,0.0,9.63,147.26,53.48,Standard,On Time,PayPal,Pending,Website,Social Media,
ORD1000033,CUST105179,2024-11-11,2024-11-12,2024-11-13,Zachary Haas,Consumer,United States,New York,North America,Delivered,4,4,Grocery|Books|Electronics,253.85,37.85,13.73,15.12,244.85,56.34,Express,Delayed,credit card,Paid,Website,Organic Search,
ORD1000034,CUST131944,2026-08-16,2026-08-17,2026-08-19,Sara Horton,Corporate,Canada,Toronto,North America,Delivered,4,3,Apparel|Grocery|Books,55.32,8.63,15.45,6.07,68.21,13.75,Express,Delayed,Credit Card,Pending,Website,Paid Ads,
ORD1000035,CUST120290,2025-11-26,2025-11-27,2025-11-29,Matthew Banks,Corporate,United States,Los Angeles,North America,Delivered,4,3,Grocery|Toys & Games,54.6,7.18,12.35,3.32,63.09,14.42,Express,On Time,Credit Card,Pending,Website,Social Media,WINTER_CLEAROUT
ORD1000036,CUST111202,2026-03-07,2026-03-08,2026-03-11,Ruth Medina,Consumer,United States,Los Angeles,North America,Delivered,2,2,Home & Kitchen|Books,62.34,15.2,6.6,3.3,57.04,12.71,Standard,On Time,Gift Card,Paid,Mobile App,Direct,
ORD1000037,CUST123249,2026-06-01,2026-06-02,2026-06-05,James Villa,Consumer,United States,,North America,Delivered,1,1,Grocery,43.31,3.17,5.68,2.81,48.63,12.97,Standard,On Time,Credit Card,Paid,Mobile App,Social Media,
ORD1000038,CUST108200,2024-11-01,2024-11-01,2024-11-03,Suzanne Mclean,Consumer,United Kingdom,Manchester,Europe,Delivered,3,2,Books|Apparel,47.12,0.0,16.02,9.42,72.56,19.07,Express,On Time,Debit Card,Paid,Mobile App,Email Marketing,BLACKFRIDAY24
ORD1000039,CUST101593,2024-10-04,2024-10-04,,April Perkins,Consumer,United States,Chicago,North America,Shipped,5,5,Books,74.38,0.0,21.73,5.21,101.32,32.16,Same-Day,In Transit,Credit Card,Paid,Website,Organic Search,
ORD1000040,CUST118857,2024-06-04,2024-06-04,2024-06-06,Morgan Hammond DDS,Consumer,United States,New York,North America,Delivered,1,1,Home & Kitchen,50.6,10.86,12.45,2.78,54.97,5.84,Express,On Time,Credit Card,Pending,Website,Paid Ads,
ORD1000041,CUST119464,2025-09-24,2025-09-25,2025-09-27,Paige Mcdonald,Consumer,Germany,Hamburg,Europe,Delivered,3,3,Toys & Games|Beauty & Personal Care|Sports & Outdoors,47.86,0.0,16.04,9.09,72.99,23.32,Express,On Time,Debit Card,Paid,Marketplace,Referral,
ORD1000042,CUST103355,2024-07-28,2024-07-29,2024-07-30,Charles Herring,Consumer,United States,Chicago,North America,Delivered,4,2,Toys & Games,24.87,0.0,17.37,1.74,43.98,11.53,Express,On Time,Credit Card,Paid,Website,Referral,
ORD1000043,CUST123184,2024-08-30,2024-08-30,2024-08-31,Wendy Barrett,Consumer,United States,New York,North America,Delivered,3,3,Sports & Outdoors|Toys & Games|Apparel,202.43,0.0,14.47,14.17,231.07,74.88,Express,On Time,Debit Card,Paid,Website,Social Media,BLACKFRIDAY25
ORD1000044,CUST119568,2024-11-12,2024-11-14,2024-11-16,Angelica Smith,Consumer,United States,Los Angeles,North America,Delivered,3,2,Home & Kitchen,46.05,4.72,7.88,2.89,52.1,9.63,Standard,Delayed,PayPal,Paid,Website,Direct,
ORD1000045,CUST104843,2024-11-29,2024-11-29,,Kim Saunders MD,Consumer,United States,Chicago,North America,Shipped,4,3,Beauty & Personal Care,32.21,0.0,17.68,2.25,52.14,11.24,Express,In Transit,Debit Card,Paid,Website,Social Media,
ORD1000046,CUST109951,2024-10-11,2024-10-11,2024-10-13,David Anderson,Consumer,United Kingdom,Manchester,Europe,Delivered,2,2,Sports & Outdoors|Books|Toys & Games,103.19,17.41,0.0,17.16,102.94,14.43,Express,On Time,Bank Transfer,Paid,Website,Email Marketing,
ORD1000047,CUST110971,2025-12-22,2025-12-23,2025-12-28,Eric Stanley,Consumer,Canada,Toronto,North America,Delivered,2,2,Grocery|Books|Home & Kitchen,30.62,5.77,6.79,3.23,34.87,6.35,Standard,Delayed,Credit Card,Paid,Website,Email Marketing,
ORD1000048,CUST108829,2025-04-24,2025-04-25,2025-04-27,Brian Ramirez,Consumer,Canada,Montreal,North America,Delivered,2,2,Electronics,59.54,0.0,13.01,7.74,80.29,17.66,Express,Delayed,Credit Card,Paid,Website,Organic Search,
ORD1000049,CUST109962,2026-02-13,2026-02-14,2026-02-18,Ashley Hall,Small Business,United States,Chicago,North America,Delivered,3,3,Books|Toys & Games|Apparel,50.18,0.0,6.64,3.51,60.33,16.8,Standard,On Time,Debit Card,Paid,Marketplace,Organic Search,
ORD1000050,CUST100524,2026-02-04,,,Crystal Wallace,Consumer,United States,Los Angeles,North America,Cancelled,4,4,Grocery,264.16,0.0,5.89,18.49,288.54,78.87,Standard,Not Shipped,PayPal,Refunded,Website,Email Marketing,
ORD1000051,CUST129019,2024-06-30,2024-07-02,,  Jeffrey Fowler  ,Small Business,United States,Chicago,North America,Shipped,3,3,Toys & Games|Apparel|Home & Kitchen,72.55,0.0,3.22,5.08,80.85,29.05,Economy,In Transit,Credit Card,Paid,Website,Social Media,
ORD1000052,CUST125718,2025-09-19,,,Kimberly Holmes,Small Business,United Kingdom,Manchester,Europe,Processing,2,2,Apparel|Grocery,45.9,0.0,3.23,9.18,58.31,17.43,Economy,Not Shipped,Debit Card,Paid,Mobile App,Paid Ads,
ORD1000053,CUST106162,2025-06-26,,,Mrs. April Larson DVM,Corporate,Australia,Sydney,Oceania,Cancelled,3,3,Electronics|Toys & Games,109.71,0.0,3.64,10.97,124.32,54.75,Economy,Not Shipped,Credit Card,Failed,Website,Organic Search,
ORD1000054,CUST104096,2026-05-09,2026-05-11,2026-05-19,Holly Scott,Small Business,Canada,Montreal,North America,Delivered,2,2,Beauty & Personal Care,59.1,10.18,3.75,6.36,59.03,14.17,Economy,Delayed,Gift Card,Paid,Website,Social Media,
ORD1000055,CUST107535,2026-01-12,2026-01-12,2026-01-13,Amber Gould,Corporate,United States,Houston,North America,Delivered,3,2,Sports & Outdoors|Toys & Games|Beauty & Personal Care,25.33,0.0,15.57,1.77,42.67,9.76,Express,Delayed,Debit Card,Paid,Mobile App,Direct,
ORD1000056,CUST119226,2026-08-24,,,Emily Barton,Small Business,United States,Los Angeles,North America,Processing,2,2,Books|Beauty & Personal Care,54.69,0.0,5.81,3.83,64.33,19.2,Standard,Not Shipped,Bank Transfer,Paid,Mobile App,Organic Search,
ORD1000057,CUST127152,2025-11-15,2025-11-16,2025-11-18,Ashley Ruiz,Consumer,United States,Houston,North America,Delivered,5,5,Sports & Outdoors|Beauty & Personal Care,145.84,0.0,6.81,10.21,162.86,67.19,Standard,On Time,Gift Card,Paid,Website,Referral,
ORD1000058,CUST132288,2024-05-19,2024-05-19,,Thomas Payne,Consumer,United States,Chicago,North America,Shipped,3,3,Beauty & Personal Care|Grocery|Electronics,36.27,4.6,5.41,2.22,39.3,11.94,Standard,In Transit,Credit Card,Paid,Marketplace,Organic Search,
ORD1000059,CUST100644,2024-10-31,2024-11-01,2024-11-03,Barbara Baker DVM,Consumer,Canada,Montreal,North America,Delivered,1,1,Electronics|Beauty & Personal Care,68.83,15.28,6.58,6.96,67.09,16.54,Standard,On Time,PayPal,Paid,Mobile App,Referral,
ORD1000060,CUST111614,2025-02-28,2025-03-02,2025-03-07,George Rivera,Small Business,Germany,Berlin,Europe,Delivered,2,2,Sports & Outdoors,52.06,0.0,4.25,9.89,66.2,24.6,Economy,On Time,Credit Card,Paid,Website,Email Marketing,
ORD1000061,CUST103783,2025-10-27,2025-10-27,2025-10-27,Chelsea Thompson DDS,Consumer,United States,Los Angeles,North America,Delivered,5,5,Books|Grocery|Sports & Outdoors,258.45,0.0,0.0,18.09,276.54,85.69,Same-Day,On Time,Credit Card,Paid,Website,Email Marketing,
ORD1000062,CUST116926,2025-08-22,2025-08-23,2025-08-24,Taylor Fowler,Consumer,United Kingdom,Birmingham,Europe,Delivered,2,2,Apparel|Toys & Games|Electronics,47.21,12.28,17.1,6.99,59.02,6.51,Express,On Time,Bank Transfer,Paid,Mobile App,Referral,
ORD1000063,CUST105103,2025-11-06,2025-11-06,2025-11-09,  Kayla Davis  ,Corporate,United States,New York,North America,Delivered,2,2,Books|Electronics,40.02,4.5,5.52,2.49,43.53,9.25,Standard,On Time,Credit Card,Paid,Website,Referral,
ORD1000064,CUST107551,2025-06-26,2025-06-26,,Elizabeth Little,Corporate,United Kingdom,Manchester,Europe,Shipped,4,3,Grocery|Toys & Games,106.07,0.0,0.0,21.21,127.28,38.11,Express,In Transit,PayPal,Paid,Website,Paid Ads,
ORD1000065,CUST111114,2025-01-04,,,Christopher Hahn,Consumer,United States,New York,North America,Cancelled,3,3,Toys & Games,72.78,0.0,14.3,5.09,92.17,34.55,Express,Not Shipped,PayPal,Failed,Mobile App,Paid Ads,
ORD1000066,CUST108886,2024-12-02,2024-12-02,2024-12-02,Loretta Barry,Corporate,United Kingdom,Manchester,Europe,Returned,3,3,Beauty & Personal Care|Home & Kitchen|Sports & Outdoors,39.87,0.0,25.82,7.97,73.66,16.96,Same-Day,Returned,Credit Card,Refunded,Social Media,Paid Ads,SUMMER_SALE24
ORD1000067,CUST114933,2024-11-05,2024-11-06,2024-11-09,James Nguyen,Small Business,United States,Los Angeles,North America,Delivered,3,3,Home & Kitchen|Toys & Games,57.75,16.81,7.9,2.87,51.71,9.53,Standard,On Time,Credit Card,Paid,Website,Organic Search,
ORD1000068,CUST108551,2024-01-07,2024-01-10,2024-01-18,Chad Henson,Corporate,United States,New York,North America,Delivered,6,5,Electronics,240.48,69.5,3.68,11.97,186.63,19.75,Economy,On Time,PayPal,Paid,Mobile App,Referral,
ORD1000069,CUST116698,2026-01-30,2026-01-30,2026-02-01,Heather Short,Corporate,United States,Chicago,North America,Delivered,4,1,Electronics|Books,79.36,9.3,7.91,4.9,82.87,24.5,Standard,On Time,Debit Card,Paid,Website,Organic Search,
ORD1000070,CUST118267,2025-03-26,2025-03-28,,Jose Rios,Small Business,United States,Los Angeles,North America,Shipped,2,2,Grocery|Electronics|Sports & Outdoors,21.71,4.55,7.18,1.2,25.54,5.16,Standard,In Transit,Debit Card,Paid,Mobile App,Email Marketing,SPRING_LAUNCH25
ORD1000071,CUST131035,2024-06-12,2024-06-12,2024-06-15,Jill Moore,Consumer,United Kingdom,Birmingham,Europe,Returned,6,4,Home & Kitchen|Toys & Games|Beauty & Personal Care,92.57,0.0,7.84,18.51,118.92,36.4,Standard,Returned,Bank Transfer,Refunded,Website,Email Marketing,
ORD1000072,CUST110698,2025-05-04,2025-05-04,2025-05-06,Benjamin Fox,Consumer,Australia,Brisbane,Oceania,Returned,2,2,Apparel,39.93,0.0,13.02,3.99,56.94,13.81,Express,Returned,Debit Card,Refunded,Marketplace,Paid Ads,
ORD1000073,CUST100147,2024-04-25,,,Janet Lang,Consumer,United Kingdom,London,Europe,Processing,2,2,Toys & Games|Books,21.92,0.0,6.02,4.38,32.32,8.75,Standard,Not Shipped,Credit Card,Paid,Website,Organic Search,
ORD1000074,CUST115328,2025-03-23,2025-03-25,2025-03-30,Natasha Wilson,Consumer,Canada,Toronto,,Delivered,8,7,Home & Kitchen,252.13,43.82,4.29,27.08,239.68,60.48,Economy,Delayed,Debit Card,Paid,Website,Social Media,
ORD1000075,CUST105202,2024-06-12,2024-06-12,,Amanda Allen,Consumer,United States,Los Angeles,North America,Shipped,5,4,Beauty & Personal Care,227.59,0.0,0.0,15.93,243.52,109.99,Standard,In Transit,DEBIT CARD,Paid,Website,Referral,
ORD1000076,CUST125835,2025-12-10,,,Jose Mcmahon,Consumer,United States,Chicago,North America,Cancelled,4,3,Beauty & Personal Care|Books|Home & Kitchen,66.79,14.1,4.49,3.69,60.87,15.46,Economy,Not Shipped,Credit Card,Failed,Marketplace,Referral,
ORD1000077,CUST100953,2026-02-04,2026-02-05,2026-02-09,  Jenna Myers  ,Corporate,United States,Chicago,North America,Delivered,3,1,Home & Kitchen|Beauty & Personal Care|Books,40.52,4.96,6.02,2.49,44.07,10.65,Standard,On Time,Credit Card,Paid,Social Media,Paid Ads,
ORD1000078,CUST115266,2024-08-31,2024-09-01,2024-09-05,Austin Black,Consumer,United States,Chicago,North America,Delivered,3,2,Beauty & Personal Care|Apparel,98.21,0.0,7.68,6.87,112.76,43.49,Standard,On Time,Gift Card,Paid,Marketplace,Email Marketing,
ORD1000079,CUST128613,2024-10-09,2024-10-09,2024-10-13,Tammy Guzman,Consumer,United States,Chicago,North America,Delivered,1,1,Toys & Games|Apparel|Beauty & Personal Care,20.76,0.0,6.08,1.45,28.29,7.44,Standard,On Time,PayPal,Paid,Mobile App,Organic Search,
ORD1000080,CUST100462,2024-04-12,2024-04-14,2024-04-19,Kelly Gonzalez,Consumer,United States,Chicago,North America,Delivered,4,4,Home & Kitchen|Sports & Outdoors,50.27,6.22,6.37,3.08,53.5,15.83,Standard,On Time,Credit Card,Paid,Website,Organic Search,
ORD1000081,CUST114017,2025-07-21,2025-07-23,2025-07-25,David Figueroa,Corporate,United States,Chicago,North America,Returned,4,2,Home & Kitchen,86.8,23.1,5.78,4.46,73.94,9.04,Standard,Returned,Credit Card,Refunded,Website,Paid Ads,LOYALTY_REWARDS
ORD1000082,CUST103352,2026-06-25,2026-06-25,,Margaret Sullivan,Consumer,United States,New York,North America,Shipped,3,3,Beauty & Personal Care,24.9,0.0,5.97,1.74,32.61,12.03,Standard,In Transit,PayPal,Pending,Social Media,Direct,
ORD1000083,CUST107110,2026-08-14,2026-08-14,2026-08-18,Janet Mills,Corporate,United States,Los Angeles,North America,Delivered,2,2,Apparel|Books,175.03,14.16,6.81,11.26,178.94,66.43,Standard,On Time,PayPal,Paid,Mobile App,Social Media,BLACKFRIDAY24
ORD1000084,CUST118442,2025-07-06,2025-07-06,2025-07-11,Mark Carroll,Small Business,United States,Los Angeles,North America,Delivered,5,4,Electronics|Grocery,194.47,26.25,6.87,11.78,186.87,35.8,Standard,On Time,Credit Card,Paid,Website,Organic Search,
ORD1000085,CUST111991,2024-11-21,2024-11-22,2024-11-23,Connor Nielsen,Corporate,United States,Chicago,North America,Delivered,5,2,Books|Apparel|Electronics,45.5,5.47,14.75,2.8,57.58,12.66,Express,On Time,PayPal,Paid,Website,Paid Ads,
ORD1000086,CUST118763,2024-09-17,2024-09-19,2024-09-22,Cynthia Smith,Consumer,United States,Houston,North America,Delivered,2,2,Apparel,54.53,6.9,7.67,3.33,58.63,15.42,Standard,On Time,Credit Card,Paid,Website,Paid Ads,SUMMER_SALE24
ORD1000087,CUST109381,2024-10-01,,,Noah Jones,Small Business,United States,New York,North America,Cancelled,2,2,Electronics|Grocery,25.28,0.0,7.97,1.77,35.02,10.76,Standard,Not Shipped,Credit Card,Refunded,Website,Paid Ads,BLACKFRIDAY25
ORD1000088,CUST117493,2025-07-21,2025-07-22,2025-07-24,Jeffrey Morrison,Consumer,United States,Los Angeles,North America,Delivered,2,2,Books,54.88,7.61,17.36,3.31,67.94,7.97,Express,On Time,Credit Card,Paid,Mobile App,Paid Ads,LOYALTY_REWARDS
ORD1000089,CUST105452,2025-03-02,2025-03-03,,Debra Lang,Consumer,United States,Houston,North America,Shipped,5,5,Electronics|Books|Beauty & Personal Care,94.89,0.0,14.93,6.64,116.46,43.83,Express,In Transit,Gift Card,Paid,Website,Referral,
ORD1000090,CUST131961,2024-03-26,2024-03-28,2024-04-01,Anthony Schmitt,Small Business,United States,Chicago,North America,Delivered,2,2,Toys & Games|Home & Kitchen,23.92,0.0,5.48,1.67,31.07,10.41,Standard,On Time,Gift Card,Paid,Mobile App,Organic Search,
ORD1000091,CUST105202,2025-12-05,2025-12-05,2025-12-09,Amanda Allen,Consumer,United States,Houston,North America,Delivered,2,2,Electronics,75.36,0.0,5.21,5.28,85.85,22.34,Standard,Delayed,PayPal,Paid,Mobile App,Organic Search,
ORD1000092,CUST102061,2024-07-17,,,David Rogers,Consumer,United States,Chicago,North America,Cancelled,3,3,Apparel|Books|Grocery,112.78,0.0,0.0,7.89,120.67,32.73,Standard,Not Shipped,PayPal,Refunded,Marketplace,Paid Ads,
ORD1000093,CUST114630,2025-12-19,2025-12-19,,Samantha Cobb,Consumer,United States,Los Angeles,North America,Shipped,3,2,Apparel,98.51,0.0,15.0,6.9,120.41,43.15,Express,In Transit,Credit Card,Paid,Website,Paid Ads,
ORD1000094,CUST124027,2025-07-20,2025-07-21,2025-07-23,Ashley Wagner,Consumer,United Kingdom,Manchester,Europe,Delivered,4,4,Apparel|Grocery,164.08,0.0,0.0,32.82,196.9,59.07,Express,On Time,Credit Card,Paid,Website,Paid Ads,
ORD1000095,CUST128084,2025-03-18,2025-03-19,2025-03-24,Kelsey Smith,Consumer,United Kingdom,Manchester,Europe,Returned,3,3,Books,51.96,8.91,5.52,8.61,57.18,14.15,Standard,Returned,Credit Card,Refunded,Mobile App,Email Marketing,BLACKFRIDAY24
ORD1000096,CUST131426,2025-01-30,2025-02-01,2025-02-05,Lisa Gonzales,Consumer,United States,New York,North America,Delivered,1,1,Books|Sports & Outdoors|Grocery,29.14,4.81,5.87,1.7,31.9,5.2,Standard,On Time,PayPal,Paid,Mobile App,Email Marketing,
ORD1000097,CUST103207,2024-12-30,2024-12-31,2025-01-02,Matthew Perez,Consumer,United States,Chicago,North America,Delivered,4,4,Books|Electronics|Sports & Outdoors,154.23,0.0,0.0,10.8,165.03,44.18,Express,On Time,Bank Transfer,Paid,Website,Direct,
ORD1000098,CUST122106,2025-06-01,2025-06-02,2025-06-04,Joseph White,Consumer,United Kingdom,Manchester,Europe,Delivered,4,3,Beauty & Personal Care|Books,91.31,16.51,5.14,14.96,94.9,23.86,Standard,Delayed,Credit Card,Paid,Marketplace,Organic Search,
ORD1000099,CUST103162,2024-03-31,2024-03-31,2024-04-03,Christopher Byrd,Consumer,United States,New York,North America,Delivered,4,3,Electronics|Toys & Games|Home & Kitchen,101.64,16.02,0.0,5.99,91.61,24.31,Standard,On Time,Bank Transfer,Paid,Website,Organic Search,
ORD1000100,CUST100602,2025-12-26,2025-12-27,2025-12-31,Stephanie Ryan,Consumer,United Kingdom,Birmingham,Europe,Delivered,4,3,Toys & Games,108.12,12.86,0.0,19.05,114.31,35.45,Standard,On Time,Credit Card,Paid,Website,Social Media,
ORD1000101,CUST117329,2024-03-03,2024-03-04,2024-03-05,Kari Robinson,Consumer,United States,Los Angeles,North America,Delivered,5,4,Home & Kitchen,64.45,0.0,12.24,4.51,81.2,20.63,Express,On Time,Credit Card,Paid,Website,Paid Ads,
