order_id,customer_id,order_date,ship_date,delivery_date,customer_name,customer_segment,customer_country,customer_city,customer_region,order_status,total_items,unique_products,subtotal,discount_amount,shipping_cost,tax_amount,total_order_value,profit,shipping_method,delivery_status,payment_method,payment_status,sales_channel,customer_acquisition_channel,campaign
ORD1000010,CUST127144,2025-03-10,2025-03-11,2025-03-16,rachel stokes,corporate,canada,toronto,north america,delivered,3,3,93.13,25.41,5.08,8.8,81.6,1.82,standard,on time,gift card,paid,marketplace,email marketing,
ORD1000011,CUST125650,2024-04-15,2024-04-15,2024-04-19,christopher logan,consumer,united states,los angeles,north america,delivered,1,1,11.49,0.0,5.62,0.8,17.91,5.5,standard,on time,credit card,paid,mobile app,email marketing,summer_sale24
ORD1000012,CUST121740,2024-04-14,2024-04-14,2024-04-17,nathaniel fields,corporate,united states,chicago,north america,returned,3,3,108.54,5.93,6.38,7.18,116.17,44.02,standard,returned,debit card,refunded,marketplace,organic search,
ORD1000013,CUST123028,2024-10-10,2024-10-11,,rhonda gill dds,consumer,united states,houston,north america,shipped,3,3,92.26,0.0,6.58,6.46,105.3,43.12,standard,in transit,credit card,paid,mobile app,paid ads,
ORD1000014,CUST124757,2024-05-17,2024-05-19,2024-05-25,tammy ward,corporate,canada,montreal,north america,delivered,1,1,55.14,0.0,3.71,7.17,66.02,26.76,economy,on time,paypal,paid,mobile app,social media,
ORD1000015,CUST122298,2025-11-18,,,sheila ortega,corporate,united states,new york,north america,processing,5,3,143.06,12.22,0.0,9.16,140.0,30.87,express,not shipped,debit card,pending,website,organic search,
ORD1000016,CUST119654,2025-10-28,2025-10-29,2025-10-30,tammy beard,consumer,united kingdom,manchester,europe,delivered,4,2,128.94,0.0,0.0,25.79,154.73,57.64,express,on time,paypal,paid,marketplace,organic search,
ORD1000017,CUST123401,2026-05-30,2026-05-31,2026-06-06,jennifer martinez,consumer,united states,new york,north america,delivered,1,1,68.31,0.0,4.59,4.78,77.68,33.38,economy,on time,debit card,paid,website,paid ads,
ORD1000018,CUST108743,2026-05-22,2026-05-24,2026-05-28,robert jacobson,corporate,united states,chicago,north america,returned,2,2,106.06,0.0,7.59,7.42,121.07,45.49,standard,returned,gift card,refunded,website,direct,
ORD1000019,CUST120445,2026-07-30,2026-08-01,2026-08-05,courtney barnes dvm,corporate,canada,toronto,north america,delivered,1,1,56.13,4.34,5.83,6.73,64.35,23.24,standard,on time,debit card,paid,website,paid ads,
ORD1000020,CUST104480,2026-01-06,2026-01-06,2026-01-07,elizabeth gibson,small business,united states,new york,north america,delivered,1,1,15.32,0.0,16.7,1.07,33.09,4.86,express,on time,paypal,paid,website,paid ads,blackfriday24
ORD1000021,CUST118343,2025-03-20,2025-03-21,2025-03-22,veronica riley,consumer,germany,munich,europe,returned,5,4,166.1,0.0,13.759999999999994,31.56,211.42,79.79,express,returned,credit card,refunded,marketplace,paid ads,
ORD1000022,CUST115843,2026-02-11,2026-02-11,2026-02-12,kelly taylor,consumer,united states,chicago,north america,delivered,5,5,167.98,31.67,21.44,9.54,167.29,46.76,same-day,delayed,bank transfer,paid,mobile app,email marketing,
ORD1000023,CUST107320,2025-05-16,2025-05-17,2025-05-19,gabriel mcdowell,consumer,united states,houston,north america,returned,2,2,39.49,10.73,16.34,2.01,47.11,5.43,express,returned,bank transfer,refunded,website,referral,
ORD1000024,CUST115175,2024-12-19,,,christopher martinez,consumer,united states,los angeles,north america,processing,2,2,61.64,0.0,12.19,4.31,78.14,25.69,express,not shipped,bank transfer,pending,website,direct,
ORD1000025,CUST122922,2024-02-13,2024-02-14,,christie freeman,small business,united states,chicago,north america,shipped,2,2,105.81,22.48,14.15,5.83,103.31,11.96,express,in transit,debit card,paid,website,organic search,
ORD1000026,CUST120876,2026-04-03,2026-04-05,2026-04-10,mr. jeffrey moreno dvm,consumer,united states,new york,north america,delivered,1,1,55.16,9.71,5.19,3.18,53.82,8.72,standard,delayed,gift card,paid,marketplace,referral,
ORD1000027,CUST119490,2025-07-01,2025-07-03,2025-07-08,larry zhang,consumer,united states,new york,north america,delivered,1,1,107.82,0.0,0.0,7.55,115.37,40.34,standard,on time,debit card,paid,website,direct,
ORD1000028,CUST124720,2025-03-20,2025-03-20,2025-03-21,johnny suarez,consumer,united states,new york,north america,delivered,3,3,85.47,0.0,14.22,5.98,105.67,37.89,express,on time,credit card,paid,marketplace,social media,
ORD1000029,CUST111127,2025-10-05,,,jennifer williams,consumer,united states,houston,north america,processing,5,5,119.09,0.0,16.71,8.34,144.14,50.62,express,not shipped,credit card,paid,marketplace,organic search,
ORD1000030,CUST118315,2024-05-28,2024-05-30,2024-06-03,dr. travis butler,consumer,germany,berlin,europe,delivered,5,4,234.41,38.96,5.11,37.14,237.7,28.23,standard,on time,credit card,paid,marketplace,paid ads,blackfriday24
ORD1000031,CUST104550,2024-08-05,2024-08-05,2024-08-09,mariah watts,small business,canada,vancouver,north america,delivered,5,3,115.92,0.0,7.72,15.07,138.71,52.58,standard,on time,debit card,pending,website,social media,
ORD1000032,CUST101346,2024-05-22,2024-05-23,2024-05-25,ryan hunt,small business,united states,chicago,north america,delivered,2,2,137.63,0.0,0.0,9.63,147.26,53.48,standard,on time,paypal,pending,website,social media,
ORD1000033,CUST105179,2024-11-11,2024-11-12,2024-11-13,zachary haas,consumer,united states,new york,north america,delivered,4,4,253.85,37.85,13.73,15.12,244.85,56.34,express,delayed,credit card,paid,website,organic search,
ORD1000034,CUST131944,2026-08-16,2026-08-17,2026-08-19,sara horton,corporate,canada,toronto,north america,delivered,4,3,55.32,8.63,15.45,6.07,68.21,13.75,express,delayed,credit card,pending,website,paid ads,
ORD1000035,CUST120290,2025-11-26,2025-11-27,2025-11-29,matthew banks,corporate,united states,los angeles,north america,delivered,4,3,54.6,7.18,12.35,3.32,63.09,14.42,express,on time,credit card,pending,website,social media,winter_clearout
ORD1000036,CUST111202,2026-03-07,2026-03-08,2026-03-11,ruth medina,consumer,united states,los angeles,north america,delivered,2,2,62.34,15.2,6.6,3.3,57.04,12.71,standard,on time,gift card,paid,mobile app,direct,
ORD1000037,CUST123249,2026-06-01,2026-06-02,2026-06-05,james villa,consumer,united states,unknown,north america,delivered,1,1,43.31,3.17,5.68,2.81,48.63,12.97,standard,on time,credit card,paid,mobile app,social media,
ORD1000038,CUST108200,2024-11-01,2024-11-01,2024-11-03,suzanne mclean,consumer,united kingdom,manchester,europe,delivered,3,2,47.12,0.0,16.02,9.42,72.56,19.07,express,on time,debit card,paid,mobile app,email marketing,blackfriday24
ORD1000039,CUST101593,2024-10-04,2024-10-04,,april perkins,consumer,united states,chicago,north america,shipped,5,5,74.38,0.0,21.73,5.21,101.32,32.16,same-day,in transit,credit card,paid,website,organic search,
ORD1000040,CUST118857,2024-06-04,2024-06-04,2024-06-06,morgan hammond dds,consumer,united states,new york,north america,delivered,1,1,50.6,10.86,12.45,2.78,54.97,5.84,express,on time,credit card,pending,website,paid ads,
ORD1000041,CUST119464,2025-09-24,2025-09-25,2025-09-27,paige mcdonald,consumer,germany,hamburg,europe,delivered,3,3,47.86,0.0,16.04,9.09,72.99,23.32,express,on time,debit card,paid,marketplace,referral,
ORD1000042,CUST103355,2024-07-28,2024-07-29,2024-07-30,charles herring,consumer,united states,chicago,north america,delivered,4,2,24.87,0.0,17.37,1.74,43.98,11.53,express,on time,credit card,paid,website,referral,
ORD1000043,CUST123184,2024-08-30,2024-08-30,2024-08-31,wendy barrett,consumer,united states,new york,north america,delivered,3,3,202.43,0.0,14.47,14.17,231.07,74.88,express,on time,debit card,paid,website,social media,blackfriday25
ORD1000044,CUST119568,2024-11-12,2024-11-14,2024-11-16,angelica smith,consumer,united states,los angeles,north america,delivered,3,2,46.05,4.72,7.88,2.89,52.1,9.63,standard,delayed,paypal,paid,website,direct,
ORD1000045,CUST104843,2024-11-29,2024-11-29,,kim saunders md,consumer,united states,chicago,north america,shipped,4,3,32.21,0.0,17.68,2.25,52.14,11.24,express,in transit,debit card,paid,website,social media,
ORD1000046,CUST109951,2024-10-11,2024-10-11,2024-10-13,david anderson,consumer,united kingdom,manchester,europe,delivered,2,2,103.19,17.41,0.0,17.16,102.94,14.43,express,on time,bank transfer,paid,website,email marketing,
ORD1000047,CUST110971,2025-12-22,2025-12-23,2025-12-28,eric stanley,consumer,canada,toronto,north america,delivered,2,2,30.62,5.77,6.79,3.23,34.87,6.35,standard,delayed,credit card,paid,website,email marketing,
ORD1000048,CUST108829,2025-04-24,2025-04-25,2025-04-27,brian ramirez,consumer,canada,montreal,north america,delivered,2,2,59.54,0.0,13.01,7.74,80.29,17.66,express,delayed,credit card,paid,website,organic search,
ORD1000049,CUST109962,2026-02-13,2026-02-14,2026-02-18,ashley hall,small business,united states,chicago,north america,delivered,3,3,50.18,0.0,6.64,3.51,60.33,16.8,standard,on time,debit card,paid,marketplace,organic search,
ORD1000050,CUST100524,2026-02-04,,,crystal wallace,consumer,united states,los angeles,north america,cancelled,4,4,264.16,0.0,5.89,18.49,288.54,78.87,standard,not shipped,paypal,refunded,website,email marketing,
ORD1000051,CUST129019,2024-06-30,2024-07-02,,jeffrey fowler,small business,united states,chicago,north america,shipped,3,3,72.55,0.0,3.22,5.08,80.85,29.05,economy,in transit,credit card,paid,website,social media,
ORD1000052,CUST125718,2025-09-19,,,kimberly holmes,small business,united kingdom,manchester,europe,processing,2,2,45.9,0.0,3.23,9.18,58.31,17.43,economy,not shipped,debit card,paid,mobile app,paid ads,
ORD1000053,CUST106162,2025-06-26,,,mrs. april larson dvm,corporate,australia,sydney,oceania,cancelled,3,3,109.71,0.0,3.64,10.97,124.32,54.75,economy,not shipped,credit card,failed,website,organic search,
ORD1000054,CUST104096,2026-05-09,2026-05-11,2026-05-19,holly scott,small business,canada,montreal,north america,delivered,2,2,59.1,10.18,3.75,6.36,59.03,14.17,economy,delayed,gift card,paid,website,social media,
ORD1000055,CUST107535,2026-01-12,2026-01-12,2026-01-13,amber gould,corporate,united states,houston,north america,delivered,3,2,25.33,0.0,15.57,1.77,42.67,9.76,express,delayed,debit card,paid,mobile app,direct,
ORD1000056,CUST119226,2026-08-24,,,emily barton,small business,united states,los angeles,north america,processing,2,2,54.69,0.0,5.81,3.83,64.33,19.2,standard,not shipped,bank transfer,paid,mobile app,organic search,
ORD1000057,CUST127152,2025-11-15,2025-11-16,2025-11-18,ashley ruiz,consumer,united states,houston,north america,delivered,5,5,145.84,0.0,6.81,10.21,162.86,67.19,standard,on time,gift card,paid,website,referral,
ORD1000058,CUST132288,2024-05-19,2024-05-19,,thomas payne,consumer,united states,chicago,north america,shipped,3,3,36.27,4.6,5.41,2.22,39.3,11.94,standard,in transit,credit card,paid,marketplace,organic search,
ORD1000059,CUST100644,2024-10-31,2024-11-01,2024-11-03,barbara baker dvm,consumer,canada,montreal,north america,delivered,1,1,68.83,15.28,6.58,6.96,67.09,16.54,standard,on time,paypal,paid,mobile app,referral,
ORD1000060,CUST111614,2025-02-28,2025-03-02,2025-03-07,george rivera,small business,germany,berlin,europe,delivered,2,2,52.06,0.0,4.25,9.89,66.2,24.6,economy,on time,credit card,paid,website,email marketing,
ORD1000061,CUST103783,2025-10-27,2025-10-27,2025-10-27,chelsea thompson dds,consumer,united states,los angeles,north america,delivered,5,5,258.45,0.0,0.0,18.09,276.54,85.69,same-day,on time,credit card,paid,website,email marketing,
ORD1000062,CUST116926,2025-08-22,2025-08-23,2025-08-24,taylor fowler,consumer,united kingdom,birmingham,europe,delivered,2,2,47.21,12.28,17.1,6.99,59.02,6.51,express,on time,bank transfer,paid,mobile app,referral,
ORD1000063,CUST105103,2025-11-06,2025-11-06,2025-11-09,kayla davis,corporate,united states,new york,north america,delivered,2,2,40.02,4.5,5.52,2.49,43.53,9.25,standard,on time,credit card,paid,website,referral,
ORD1000064,CUST107551,2025-06-26,2025-06-26,,elizabeth little,corporate,united kingdom,manchester,europe,shipped,4,3,106.07,0.0,0.0,21.21,127.28,38.11,express,in transit,paypal,paid,website,paid ads,
ORD1000065,CUST111114,2025-01-04,,,christopher hahn,consumer,united states,new york,north america,cancelled,3,3,72.78,0.0,14.3,5.09,92.17,34.55,express,not shipped,paypal,failed,mobile app,paid ads,
ORD1000066,CUST108886,2024-12-02,2024-12-02,2024-12-02,loretta barry,corporate,united kingdom,manchester,europe,returned,3,3,39.87,0.0,25.82,7.97,73.66,16.96,same-day,returned,credit card,refunded,social media,paid ads,summer_sale24
ORD1000067,CUST114933,2024-11-05,2024-11-06,2024-11-09,james nguyen,small business,united states,los angeles,north america,delivered,3,3,57.75,16.81,7.9,2.87,51.71,9.53,standard,on time,credit card,paid,website,organic search,
ORD1000068,CUST108551,2024-01-07,2024-01-10,2024-01-18,chad henson,corporate,united states,new york,north america,delivered,6,5,240.48,69.5,3.68,11.97,186.63,19.75,economy,on time,paypal,paid,mobile app,referral,
ORD1000069,CUST116698,2026-01-30,2026-01-30,2026-02-01,heather short,corporate,united states,chicago,north america,delivered,4,1,79.36,9.3,7.91,4.9,82.87,24.5,standard,on time,debit card,paid,website,organic search,
ORD1000070,CUST118267,2025-03-26,2025-03-28,,jose rios,small business,united states,los angeles,north america,shipped,2,2,21.71,4.55,7.18,1.2,25.54,5.16,standard,in transit,debit card,paid,mobile app,email marketing,spring_launch25
ORD1000071,CUST131035,2024-06-12,2024-06-12,2024-06-15,jill moore,consumer,united kingdom,birmingham,europe,returned,6,4,92.57,0.0,7.84,18.51,118.92,36.4,standard,returned,bank transfer,refunded,website,email marketing,
ORD1000072,CUST110698,2025-05-04,2025-05-04,2025-05-06,benjamin fox,consumer,australia,brisbane,oceania,returned,2,2,39.93,0.0,13.02,3.99,56.94,13.81,express,returned,debit card,refunded,marketplace,paid ads,
ORD1000073,CUST100147,2024-04-25,,,janet lang,consumer,united kingdom,london,europe,processing,2,2,21.92,0.0,6.02,4.38,32.32,8.75,standard,not shipped,credit card,paid,website,organic search,
ORD1000074,CUST115328,2025-03-23,2025-03-25,2025-03-30,natasha wilson,consumer,canada,toronto,north america,delivered,8,7,252.13,43.82,4.29,27.08,239.68,60.48,economy,delayed,debit card,paid,website,social media,
ORD1000075,CUST105202,2024-06-12,2024-06-12,,amanda allen,consumer,united states,los angeles,north america,shipped,5,4,227.59,0.0,0.0,15.93,243.52,109.99,standard,in transit,debit card,paid,website,referral,
ORD1000076,CUST125835,2025-12-10,,,jose mcmahon,consumer,united states,chicago,north america,cancelled,4,3,66.79,14.1,4.49,3.69,60.87,15.46,economy,not shipped,credit card,failed,marketplace,referral,
ORD1000077,CUST100953,2026-02-04,2026-02-05,2026-02-09,jenna myers,corporate,united states,chicago,north america,delivered,3,1,40.52,4.96,6.02,2.49,44.07,10.65,standard,on time,credit card,paid,social media,paid ads,
ORD1000078,CUST115266,2024-08-31,2024-09-01,2024-09-05,austin black,consumer,united states,chicago,north america,delivered,3,2,98.21,0.0,7.68,6.87,112.76,43.49,standard,on time,gift card,paid,marketplace,email marketing,
ORD1000079,CUST128613,2024-10-09,2024-10-09,2024-10-13,tammy guzman,consumer,united states,chicago,north america,delivered,1,1,20.76,0.0,6.08,1.45,28.29,7.44,standard,on time,paypal,paid,mobile app,organic search,
ORD1000080,CUST100462,2024-04-12,2024-04-14,2024-04-19,kelly gonzalez,consumer,united states,chicago,north america,delivered,4,4,50.27,6.22,6.37,3.08,53.5,15.83,standard,on time,credit card,paid,website,organic search,
ORD1000081,CUST114017,2025-07-21,2025-07-23,2025-07-25,david figueroa,corporate,united states,chicago,north america,returned,4,2,86.8,23.1,5.78,4.46,73.94,9.04,standard,returned,credit card,refunded,website,paid ads,loyalty_rewards
ORD1000082,CUST103352,2026-06-25,2026-06-25,,margaret sullivan,consumer,united states,new york,north america,shipped,3,3,24.9,0.0,5.97,1.74,32.61,12.03,standard,in transit,paypal,pending,social media,direct,
ORD1000083,CUST107110,2026-08-14,2026-08-14,2026-08-18,janet mills,corporate,united states,los angeles,north america,delivered,2,2,175.03,14.16,6.81,11.26,178.94,66.43,standard,on time,paypal,paid,mobile app,social media,blackfriday24
ORD1000084,CUST118442,2025-07-06,2025-07-06,2025-07-11,mark carroll,small business,united states,los angeles,north america,delivered,5,4,194.47,26.25,6.87,11.78,186.87,35.8,standard,on time,credit card,paid,website,organic search,
ORD1000085,CUST111991,2024-11-21,2024-11-22,2024-11-23,connor nielsen,corporate,united states,chicago,north america,delivered,5,2,45.5,5.47,14.75,2.8,57.58,12.66,express,on time,paypal,paid,website,paid ads,
ORD1000086,CUST118763,2024-09-17,2024-09-19,2024-09-22,cynthia smith,consumer,united states,houston,north america,delivered,2,2,54.53,6.9,7.67,3.33,58.63,15.42,standard,on time,credit card,paid,website,paid ads,summer_sale24
ORD1000087,CUST109381,2024-10-01,,,noah jones,small business,united states,new york,north america,cancelled,2,2,25.28,0.0,7.97,1.77,35.02,10.76,standard,not shipped,credit card,refunded,website,paid ads,blackfriday25
ORD1000088,CUST117493,2025-07-21,2025-07-22,2025-07-24,jeffrey morrison,consumer,united states,los angeles,north america,delivered,2,2,54.88,7.61,17.36,3.31,67.94,7.97,express,on time,credit card,paid,mobile app,paid ads,loyalty_rewards
ORD1000089,CUST105452,2025-03-02,2025-03-03,,debra lang,consumer,united states,houston,north america,shipped,5,5,94.89,0.0,14.93,6.64,116.46,43.83,express,in transit,gift card,paid,website,referral,
ORD1000090,CUST131961,2024-03-26,2024-03-28,2024-04-01,anthony schmitt,small business,united states,chicago,north america,delivered,2,2,23.92,0.0,5.48,1.67,31.07,10.41,standard,on time,gift card,paid,mobile app,organic search,
ORD1000091,CUST105202,2025-12-05,2025-12-05,2025-12-09,amanda allen,consumer,united states,houston,north america,delivered,2,2,75.36,0.0,5.21,5.28,85.85,22.34,standard,delayed,paypal,paid,mobile app,organic search,
ORD1000092,CUST102061,2024-07-17,,,david rogers,consumer,united states,chicago,north america,cancelled,3,3,112.78,0.0,0.0,7.89,120.67,32.73,standard,not shipped,paypal,refunded,marketplace,paid ads,
ORD1000093,CUST114630,2025-12-19,2025-12-19,,samantha cobb,consumer,united states,los angeles,north america,shipped,3,2,98.51,0.0,15.0,6.9,120.41,43.15,express,in transit,credit card,paid,website,paid ads,
ORD1000094,CUST124027,2025-07-20,2025-07-21,2025-07-23,ashley wagner,consumer,united kingdom,manchester,europe,delivered,4,4,164.08,0.0,0.0,32.82,196.9,59.07,express,on time,credit card,paid,website,paid ads,
ORD1000095,CUST128084,2025-03-18,2025-03-19,2025-03-24,kelsey smith,consumer,united kingdom,manchester,europe,returned,3,3,51.96,8.91,5.52,8.61,57.18,14.15,standard,returned,credit card,refunded,mobile app,email marketing,blackfriday24
ORD1000096,CUST131426,2025-01-30,2025-02-01,2025-02-05,lisa gonzales,consumer,united states,new york,north america,delivered,1,1,29.14,4.81,5.87,1.7,31.9,5.2,standard,on time,paypal,paid,mobile app,email marketing,
ORD1000097,CUST103207,2024-12-30,2024-12-31,2025-01-02,matthew perez,consumer,united states,chicago,north america,delivered,4,4,154.23,0.0,0.0,10.8,165.03,44.18,express,on time,bank transfer,paid,website,direct,
ORD1000098,CUST122106,2025-06-01,2025-06-02,2025-06-04,joseph white,consumer,united kingdom,manchester,europe,delivered,4,3,91.31,16.51,5.14,14.96,94.9,23.86,standard,delayed,credit card,paid,marketplace,organic search,
ORD1000099,CUST103162,2024-03-31,2024-03-31,2024-04-03,christopher byrd,consumer,united states,new york,north america,delivered,4,3,101.64,16.02,0.0,5.99,91.61,24.31,standard,on time,bank transfer,paid,website,organic search,
ORD1000100,CUST100602,2025-12-26,2025-12-27,2025-12-31,stephanie ryan,consumer,united kingdom,birmingham,europe,delivered,4,3,108.12,12.86,0.0,19.05,114.31,35.45,standard,on time,credit card,paid,website,social media,
ORD1000101,CUST117329,2024-03-03,2024-03-04,2024-03-05,kari robinson,consumer,united states,los angeles,north america,delivered,5,4,64.45,0.0,12.24,4.51,81.2,20.63,express,on time,credit card,paid,website,paid ads,
ORD1000102,CUST110357,2025-08-13,2025-08-13,2025-08-15,isabella wright,corporate,united states,chicago,north america,delivered,4,4,80.71,21.5,5.62,4.14,68.97,8.79,standard,on time,debit card,paid,website,referral,
ORD1000103,CUST104975,2024-09-26,2024-09-26,2024-09-26,matthew clayton,small business,united kingdom,london,europe,delivered,3,3,123.13,0.0,23.29,24.63,171.05,40.66,same-day,on time,credit card,paid,marketplace,email marketing,spring_launch25
ORD1000104,CUST114492,2026-02-07,2026-02-09,2026-02-11,todd murray,corporate,canada,montreal,north america,delivered,3,3,185.46,53.23,6.11,17.19,155.53,5.38,standard,on time,paypal,paid,mobile app,organic search,
ORD1000105,CUST121279,2026-07-24,2026-07-25,,laurie hardy,consumer,united kingdom,manchester,europe,shipped,3,1,40.7,0.0,13.88,8.14,62.72,13.12,express,in transit,credit card,paid,marketplace,direct,
ORD1000106,CUST100056,2025-06-11,2025-06-12,2025-06-15,walter hutchinson,corporate,germany,berlin,europe,delivered,4,4,130.29,27.95,5.54,19.44,127.32,30.1,standard,on time,paypal,pending,marketplace,direct,
ORD1000107,CUST129488,2024-01-09,2024-01-10,2024-01-11,anne mcdonald,consumer,united kingdom,birmingham,europe,delivered,3,2,108.57,0.0,14.75,21.71,145.03,38.79,express,on time,paypal,paid,mobile app,organic search,
ORD1000108,CUST113447,2025-02-02,2025-02-02,2025-02-04,donald perez,corporate,united states,chicago,north america,delivered,4,3,101.05,12.94,17.91,6.17,112.19,23.72,express,on time,debit card,paid,marketplace,paid ads,
ORD1000109,CUST111525,2026-01-13,2026-01-13,2026-01-18,john french,consumer,canada,toronto,north america,delivered,7,7,204.42,0.0,4.38,26.57,235.37,102.01,economy,on time,debit card,paid,marketplace,paid ads,
ORD1000110,CUST118745,2026-04-29,2026-04-30,2026-05-01,brent ortiz,corporate,united states,chicago,north america,delivered,2,2,128.47,0.0,17.2,8.99,154.66,44.56,express,on time,paypal,paid,marketplace,organic search,
ORD1000111,CUST101999,2024-09-03,2024-09-03,2024-09-04,michael brown,consumer,united states,chicago,north america,delivered,1,1,27.74,0.0,12.61,1.94,42.29,13.41,express,on time,credit card,paid,mobile app,organic search,
ORD1000112,CUST131529,2025-05-18,2025-05-18,2025-05-26,chris kidd,small business,united states,chicago,north america,delivered,3,3,49.89,0.0,3.36,3.49,56.74,23.43,economy,on time,credit card,paid,mobile app,paid ads,summer_sale24
ORD1000113,CUST112852,2024-05-05,2024-05-05,2024-05-08,matthew olsen,consumer,germany,munich,europe,delivered,4,2,33.42,7.4,7.32,4.94,38.28,7.32,standard,delayed,gift card,paid,website,referral,
ORD1000114,CUST124019,2025-12-03,,,sandra white,consumer,united kingdom,manchester,europe,processing,2,2,40.49,0.0,5.67,8.1,54.26,18.17,standard,not shipped,credit card,paid,mobile app,organic search,
ORD1000115,CUST113427,2026-07-11,2026-07-12,2026-07-14,taylor graham,corporate,united states,houston,north america,returned,2,2,87.61,14.71,12.32,5.1,90.32,14.17,express,returned,credit card,refunded,social media,email marketing,
ORD1000116,CUST112716,2024-06-06,2024-06-07,2024-06-08,mrs. penny perez,consumer,united states,los angeles,north america,returned,3,2,239.4,28.45,16.99,14.77,242.71,78.49,express,returned,debit card,refunded,website,social media,
ORD1000117,CUST107537,2024-04-18,2024-04-19,2024-04-24,alexander gross,consumer,canada,toronto,north america,returned,2,2,49.45,0.0,6.86,6.43,62.74,16.36,standard,returned,credit card,refunded,mobile app,paid ads,
ORD1000118,CUST117931,2024-01-27,2024-01-28,2024-02-02,alisha sanchez,consumer,united kingdom,manchester,europe,delivered,4,2,219.99,21.88,7.72,39.62,245.45,63.42,standard,on time,paypal,paid,website,referral,
ORD1000119,CUST110166,2026-08-18,2026-08-18,2026-08-22,kathleen lawrence,small business,united states,los angeles,north america,returned,3,2,94.52,26.12,4.32,4.79,77.51,14.1,economy,returned,credit card,refunded,website,paid ads,
ORD1000120,CUST106134,2025-09-05,,,thomas miller,corporate,united kingdom,birmingham,europe,processing,5,5,68.43,0.0,7.86,13.69,89.98,31.1,standard,not shipped,paypal,paid,website,organic search,
ORD1000121,CUST105814,2024-11-20,,,andrea nelson,corporate,united states,chicago,north america,processing,3,2,426.75,112.14,7.85,22.02,344.48,69.02,standard,not shipped,credit card,pending,mobile app,organic search,
ORD1000122,CUST108059,2025-11-06,2025-11-06,2025-11-08,frederick holland,consumer,united kingdom,birmingham,europe,delivered,3,3,71.78,14.22,6.71,11.51,75.78,11.72,standard,on time,credit card,paid,mobile app,direct,
ORD1000123,CUST126288,2024-11-30,2024-12-02,2024-12-07,sarah chandler,corporate,united states,new york,north america,delivered,5,2,121.5,0.0,6.39,8.51,136.4,37.83,standard,on time,debit card,paid,website,paid ads,blackfriday25
ORD1000124,CUST107694,2024-05-16,2024-05-16,2024-05-17,michael hansen,corporate,united states,houston,north america,delivered,5,2,147.25,37.81,13.22,7.66,130.32,26.12,express,on time,credit card,paid,mobile app,referral,
ORD1000125,CUST111308,2024-06-24,2024-06-24,2024-06-26,michelle newman,consumer,united states,houston,north america,returned,6,6,292.62,0.0,5.82,20.48,318.92,102.77,standard,returned,gift card,refunded,mobile app,organic search,
ORD1000126,CUST107363,2025-11-06,2025-11-07,2025-11-12,brenda rodriguez,consumer,united states,los angeles,north america,delivered,3,3,69.38,0.0,6.08,4.86,80.32,22.86,standard,on time,credit card,paid,website,referral,
